stockCode,pageSize,docSize,htmlSize
300053,1200,777,423
300054,168,11,157
300056,393,22,371
300057,226,41,185
300062,3297,4,3293
300064,502,12,490
300066,914,2,912
300067,364,0,364
300068,972,29,943
300072,943,659,284
300073,838,73,765
300080,1188,1,1187
300082,1881,739,1142
300084,919,725,194
300088,9035,2,9033
300090,539,0,539
300093,591,52,539
300099,616,0,616
300102,548,365,183
300103,351,40,311
300105,1019,416,603
300109,242,81,161
300110,705,1,704
300114,505,76,429
300116,355,0,355
300118,4308,116,4192
300120,467,289,178
300125,747,0,747
300129,558,0,558
300130,445,83,362
300132,675,434,241
300135,127,0,127
300138,198,1,197
300140,300,0,300
300145,629,6,623
300146,3446,912,2534
300149,435,0,435
300151,415,4,411
300153,306,11,295
300156,189,0,189
300157,1313,548,765
300158,1145,16,1129
300159,107,0,107
300162,2032,354,1678
300169,207,0,207
300173,936,0,936
300174,120,4,116
300181,100,0,100
300185,732,139,593
300191,1212,490,722
300192,157,55,102
300193,394,2,392
300194,803,4,799
300196,1135,513,622
300199,1250,850,400
300200,455,96,359
300201,704,9,695
300202,606,11,595
300216,755,250,505
300217,343,2,341
300218,210,0,210
300222,110,0,110
300227,233,9,224
300228,428,9,419
300232,3261,1,3260
300233,1230,14,1216
300236,351,0,351
300241,1480,572,908
300252,636,23,613
300257,907,460,447
300263,339,0,339
300266,1087,0,1087
300267,458,139,319
300272,1695,64,1631
300274,1005,1,1004
300276,288,0,288
300281,216,45,171
300283,753,9,744
300285,445,0,445
300286,1548,56,1492
300289,1053,507,546
300293,272,77,195
300301,309,55,254
300306,941,98,843
300323,762,0,762
300327,3396,1064,2332
300334,375,2,373
300338,370,0,370
300340,992,14,978
300344,655,255,400
300351,628,0,628
300356,236,13,223
300357,430,285,145
300360,177,43,134
300361,770,0,770
300362,150,45,105
300368,108,0,108
300370,1476,586,890
300371,919,440,479
300372,495,20,475
300374,786,22,764
300376,1190,64,1126
300381,1827,26,1801
300394,176,0,176
300395,180,0,180
300398,210,2,208
300400,126,0,126
300402,931,55,876
300403,209,0,209
300406,1825,278,1547
300408,215,9,206
300409,568,0,568
300410,136,3,133
300411,291,1,290
300415,1100,1,1099
300416,800,239,561
300421,443,158,285
300429,121,0,121
300437,296,2,294
300439,477,45,432
300441,1131,146,985
300447,222,0,222
300450,188,0,188
300452,717,22,695
300463,376,17,359
300466,372,3,369
300470,474,0,474
300471,246,0,246
300472,201,30,171
300474,210,0,210
300480,351,0,351
300484,765,0,765
300485,687,2,685
300486,1318,0,1318
300490,892,0,892
300491,207,10,197
300509,191,4,187
300512,183,0,183
300515,766,8,758
300527,839,165,674
300530,618,0,618
300534,389,0,389
300539,450,0,450
300558,596,55,541
600005,12147,80,12067
600010,1011,0,1011
600019,5182,79,5103
600021,1264,258,1006
600023,1436,41,1395
600031,1655,0,1655
600062,460,165,295
600069,629,0,629
600071,2724,2,2722
600073,231,0,231
600075,429,0,429
600078,375,0,375
600080,254,82,172
600085,1094,36,1058
600095,164,88,76
600096,1723,704,1019
600101,2387,342,2045
600103,10370,223,10147
600104,118,44,74
600105,216,58,158
600111,6996,11,6985
600114,1012,577,435
600116,638,19,619
600117,1181,101,1080
600121,211,29,182
600123,17377,8268,9109
600126,186,41,145
600127,1725,0,1725
600131,2920,974,1946
600141,119,4,115
600143,108,0,108
600157,1757,0,1757
600160,1460,879,581
600165,938,1,937
600169,296,4,292
600171,3228,719,2509
600176,445,197,248
600184,2276,2,2274
600188,5799,1761,4038
600189,7919,2,7917
600191,179,40,139
600192,885,0,885
