"page_size","stockCode","x1","x2","x3","x4","x5","total_words_num","result"
1460,"000012",0.000207657165710418,0.00424389718662996,0.00367783913491563,0.000130747104336189,0.000167663933795819,650110,1
1879,"000027",0.00187892521851732,0.00450760764001295,0.00251990935577857,0.000308190352865005,0.0007795403043056,772250,2
770,"000050",0.000374886547492206,0.000682124394685067,0.00139807313951981,1.12747833832242e-05,9.86543546032122e-05,354774,3
391,"000153",0.000394268059269242,0.000623660384662256,0.0017204424404476,1.43370203370633e-05,0.00012903318303357,139499,3
1619,"000423",0.000457085869813634,0.00109423587015991,0.00210017106092401,5.71357337267042e-05,0.000728913451483105,577572,3
93,"000519",0.000690581239209668,0.00387492806445425,0.00310761557644351,3.83656244005371e-05,0.000153462497602148,26065,2
641,"000543",0.000473376176268074,0.00316659972458113,0.00260536206105118,0.000326342666972688,0.000175722974523755,557696,2
248,"000545",0.00204970535485524,0.00770968718701232,0.00123448163417418,2.32921063051732e-05,0.000559010551324156,42933,4
261,"000550",0.000453688487402583,0.00348836036980653,0.00254065552945446,0.000120983596640689,0.00147196709246171,99187,2
834,"000553",0.00079646612812387,0.00200272353588931,0.00532098215411515,8.40597496700655e-05,0.000386674848482301,475852,1
302,"000570",0.000738797034621558,0.00306982905765164,0.00463658828624564,0.000101903039258146,0.000292971237867169,78506,1
267,"000576",0.000167241877366092,0.00208798949923728,0.000192581555754894,0,6.58831638108849e-05,197319,3
353,"000590",0.000129860760406897,0.000283769809778034,0.00019719596950677,1.44289733785441e-05,1.44289733785441e-05,207915,3
5993,"000591",0.000722042309497584,0.00596856860492817,0.004328421047666,4.71730377785273e-05,0.000338761377547049,3391768,4
2216,"000597",0.00169311768941459,0.00119416820272956,0.00137743163978212,1.89175160828445e-05,0.000206910332156112,845777,3
122,"000599",0.000314177248330933,0.00170179342845922,0.0051839245974604,5.23628747218222e-05,0.000130907186804556,38195,1
271,"000600",0.000825854759676265,0.00586356879370148,0.00382646038650003,0.000275284919892088,0.00105984694158454,72652,4
140,"000623",0.000408528022469041,0.00114898506319418,0.00112345206178986,2.55330014043151e-05,0.000178731009830206,39165,3
273,"000637",0.000441952324393006,0.00265171394635804,0.000690550506864072,2.76220202745629e-05,0.000359086263569317,72406,3
173,"000661",0.000970840123435387,0.00104018584653791,0.00280850178565237,6.93457231025277e-05,0.000208037169307583,86523,3
723,"000666",0.000960813352352743,0.00430889581421549,0.00496988088640142,7.04142173119032e-05,0.000427028156601219,440252,1
594,"000672",0.00135822219406342,0.00523885703424462,0.000756327810688377,7.91966293914531e-05,0.000617733709253334,252536,2
