stockCode	total
600592	2016
600594	2363
600595	788
600597	1222
600609	491
600615	310
600619	1909
600636	838
600644	9216
600653	1664
600664	6150
600668	3980
600671	165
600674	391
600688	1330
600703	134
600707	439
600719	374
600720	3192
600740	6963
600746	1366
600765	704
600783	340
600789	256
600795	22694
600796	875
600801	2926
600802	383
600808	2676
600819	323
600835	1150
600860	296
600867	175
600868	228
600869	1433
600872	1420
600875	728
600877	10391
600881	5539
600884	1108
600885	1634
600886	1288
600889	765
600961	507
600969	1277
600970	1614
600971	1679
600979	3355
600980	263
600985	3659
600992	1285
600997	1903
601001	205
601011	479
601015	4098
601016	6568
601020	696
601038	2193
601058	730
601100	939
601106	8617
601113	726
601137	464
601163	1867
601168	590
601179	1232
601206	202
601216	5700
601218	438
601222	2137
601225	612
601233	1957
601311	239
601313	524
601369	2764
601558	270
601567	5114
601600	33977
601608	3944
601633	406
601636	463
601677	1509
601700	565
601727	1197
601808	307
601899	7337
601958	5945
601969	556
601985	276
601989	1429
601991	3495
601992	9979
601996	448
603002	858
603011	828
603012	227
603060	2551
603088	312
603169	378
603188	251
603227	214
603288	889
603299	3108
603338	683
603366	499
603399	1545
603456	277
603566	632
603601	115
603618	178
603658	339
603669	647
603703	1122
603718	863
603766	1613
603798	1509
603799	135
603806	491
603866	285
603968	227
603979	846
603998	1278
