stockCode	total	totalDoc	docPercent
300534	389	0	0.0
002370	255	0	0.0
002374	2322	0	0.0
002613	413	0	0.0
600867	175	0	0.0
002743	210	0	0.0
600869	1433	0	0.0
002723	532	0	0.0
300530	618	0	0.0
002377	417	0	0.0
002691	370	0	0.0
002690	406	0	0.0
300512	183	0	0.0
002378	390	0	0.0
000600	396	0	0.0
601233	1957	0	0.0
002411	1513	0	0.0
600720	3192	0	0.0
603169	378	0	0.0
603188	251	0	0.0
002530	193	0	0.0
002529	1270	0	0.0
002520	1000	0	0.0
000153	467	0	0.0
603366	499	0	0.0
603399	1545	0	0.0
603456	277	0	0.0
603566	632	0	0.0
002512	751	0	0.0
603618	178	0	0.0
002499	365	0	0.0
002498	565	0	0.0
002457	325	0	0.0
603718	863	0	0.0
002496	1462	0	0.0
300470	474	0	0.0
603799	135	0	0.0
002490	276	0	0.0
603866	285	0	0.0
002471	1132	0	0.0
603979	846	0	0.0
603088	312	0	0.0
000519	130	0	0.0
002541	648	0	0.0
601700	565	0	0.0
601311	239	0	0.0
002604	7921	0	0.0
601369	2764	0	0.0
601558	270	0	0.0
300474	210	0	0.0
002422	753	0	0.0
002600	1404	0	0.0
002132	7830	0	0.0
002598	776	0	0.0
002596	241	0	0.0
002591	392	0	0.0
002554	257	0	0.0
000590	447	0	0.0
002438	1677	0	0.0
002585	371	0	0.0
601969	556	0	0.0
002450	332	0	0.0
000570	320	0	0.0
002452	399	0	0.0
300471	246	0	0.0
000545	290	0	0.0
000543	713	0	0.0
600740	6963	0	0.0
600707	439	0	0.0
300035	433	0	0.0
002184	1159	0	0.0
600302	972	0	0.0
002246	4101	0	0.0
300351	628	0	0.0
000990	578	0	0.0
002180	116	0	0.0
600321	197	0	0.0
300181	100	0	0.0
300173	936	0	0.0
300169	207	0	0.0
600352	457	0	0.0
300159	107	0	0.0
002272	679	0	0.0
300156	189	0	0.0
300149	435	0	0.0
600367	126	0	0.0
600378	403	0	0.0
002273	315	0	0.0
002179	1148	0	0.0
600387	414	0	0.0
300140	300	0	0.0
002090	641	0	0.0
600396	11101	0	0.0
300361	770	0	0.0
300218	210	0	0.0
600295	152	0	0.0
600293	711	0	0.0
002221	176	0	0.0
002066	117	0	0.0
600157	1757	0	0.0
600143	108	0	0.0
300285	445	0	0.0
600192	885	0	0.0
002206	221	0	0.0
300276	288	0	0.0
300338	370	0	0.0
600127	1725	0	0.0
600222	703	0	0.0
002182	563	0	0.0
300222	110	0	0.0
002078	184	0	0.0
300266	1087	0	0.0
600243	138	0	0.0
300263	339	0	0.0
600252	373	0	0.0
002224	144	0	0.0
002020	2504	0	0.0
300236	351	0	0.0
002011	193	0	0.0
600285	403	0	0.0
000939	376	0	0.0
600406	541	0	0.0
000930	13409	0	0.0
300067	364	0	0.0
300099	616	0	0.0
300090	539	0	0.0
600569	814	0	0.0
000790	1993	0	0.0
600586	224	0	0.0
600073	231	0	0.0
002318	451	0	0.0
600069	629	0	0.0
002118	377	0	0.0
600031	1655	0	0.0
600615	310	0	0.0
600078	375	0	0.0
300395	180	0	0.0
300400	126	0	0.0
002476	140	0	0.0
600653	1664	0	0.0
002329	390	0	0.0
300048	521	0	0.0
600010	1011	0	0.0
600674	391	0	0.0
300041	375	0	0.0
600703	134	0	0.0
600075	429	0	0.0
600538	230	0	0.0
002177	2400	0	0.0
000885	156	0	0.0
300135	127	0	0.0
002103	5800	0	0.0
600420	2254	0	0.0
000911	437	0	0.0
002286	524	0	0.0
002287	306	0	0.0
300129	558	0	0.0
300368	108	0	0.0
600470	990	0	0.0
300125	747	0	0.0
002294	251	0	0.0
300447	222	0	0.0
300116	355	0	0.0
002295	352	0	0.0
002176	260	0	0.0
300394	176	0	0.0
000821	1865	0	0.0
002300	782	0	0.0
600516	4059	0	0.0
002308	968	0	0.0
600526	269	0	0.0
600531	474	0	0.0
300450	188	0	0.0
