addrReg,addrWork,area,ename,industry,institutional,is_target,listingDate,lootchips,market,name,offerDate,pricelimit,registerDate,shareholders,sname,stockCode,webSite
山西省晋城市凤台东街2288号,山西省晋城市凤台东街2288号兰花科技大厦,山西,"Shanxi Lanhua Sci-tech Venture Co., Ltd.",煤炭开采,114240.0,1.0,1998-12-16 16:00:00,11.42,上海证券交易所,山西兰花科技创业股份有限公司,1998-11-11 16:00:00,11.42,1998-12-07 16:00:00,91.16,兰花科创,600123,http://www.chinalanhua.com
广东省深圳市南山区高新北区科技中二路软件园1栋4楼401、402室,广东省深圳市南山区高新北区科技中二路软件园1栋4楼401、402室,广东,"Shenzhen Kstar Science and Technology Co., Ltd.",电子电气组件与设备,44532.14,1.0,2010-12-06 16:00:00,4.25,中小企业板,深圳科士达科技股份有限公司,2010-11-23 16:00:00,4.45,1993-03-16 16:00:00,91.09,科士达,002518,http://www.kstar.com.cn
北京市海淀区大柳树南村19号,北京市海淀区大柳树南村19号,北京,"Beijing Cisri-gaona Materials and Technology Co., Ltd.",有色金属,41851.24,1.0,2009-12-24 16:00:00,4.18,创业板,北京钢研高纳科技股份有限公司,2009-12-15 16:00:00,4.19,2004-11-21 16:00:00,90.9,钢研高纳,300034,http://www.cisri-gaona.com.cn
浙江省湖州市双林镇镇西,浙江省湖州市双林镇镇西,浙江,"Zhejiang Jiuli Hi-tech Metals Co., Ltd.",钢铁,84150.59,1.0,2009-12-10 16:00:00,8.16,中小企业板,浙江久立特材科技股份有限公司,2009-11-30 16:00:00,8.42,2005-09-18 16:00:00,90.61,久立特材,002318,http://www.jiuli.com
湖北省武汉市武昌南湖周家湾100号,湖北省武汉市武昌南湖周家湾100号,湖北,"Mayinglong Pharmaceutical Group Co., Ltd.",制药,43105.39,1.0,2004-05-16 16:00:00,4.3,上海证券交易所,马应龙药业集团股份有限公司,,4.31,1994-05-08 16:00:00,90.35,马应龙,600993,http://www.mayinglong.cn
天津市西青区京福公路578号,天津市西青区京福公路578号,天津,"Tianjin Faw Xiali Automobile Co., Ltd.",汽车,159517.4,1.0,1999-07-26 16:00:00,15.95,深圳证券交易所,天津一汽夏利汽车股份有限公司,1999-06-27 16:00:00,15.95,1997-08-27 16:00:00,89.97,一汽夏利,000927,http://www.tjfaw.com.cn
吉林省通化市二道江区金马路999号,吉林省通化市二道江区金马路999号,吉林,"Tonghua Golden-horse Pharmaceutical Industry Co., Ltd.",制药,96649.47,1.0,1997-04-29 16:00:00,4.49,深圳证券交易所,通化金马药业集团股份有限公司,,9.66,1993-02-25 16:00:00,89.58,通化金马,000766,http://www.thjm.cn
吉林省吉林市船营区迎宾大路98号,吉林省吉林市高新区吉林大街45-1号,吉林,"Jilin Yongda Group Co., Ltd.",电子电气组件与设备,84000.0,1.0,2011-10-17 16:00:00,7.24,中小企业板,吉林永大集团股份有限公司,2011-10-09 16:00:00,8.4,1998-11-05 16:00:00,89.58,永大集团,002622,http://www.jlydjt.com
黑龙江省哈尔滨开发区迎宾路集中区东湖街9号,黑龙江省哈尔滨开发区迎宾路集中区东湖街9号,黑龙江,"Harbin Boshi Automation Co., Ltd.",工业机械,68170.0,1.0,2012-09-10 16:00:00,5.21,中小企业板,哈尔滨博实自动化股份有限公司,2012-09-02 16:00:00,6.82,1997-09-11 16:00:00,89.12,博实股份,002698,http://www.boshi.cn
江苏省江阴市滨江开发区定山路十号,江苏省江阴市滨江开发区定山路10号,江苏,"Jiangsu Sihuan Bioengineering Co., Ltd.",制药,102955.62,1.0,1993-09-07 16:00:00,10.3,深圳证券交易所,江苏四环生物股份有限公司,,10.3,1992-05-17 16:00:00,88.85,四环生物,000518,http://www.shsw.com.cn
安徽省合肥市经济技术开发区莲花路,安徽省合肥市经济技术开发区莲花路1307号,安徽,"Qiaqia Food Co., Ltd.",食品生产（IV）,50700.0,1.0,2011-03-01 16:00:00,5.07,中小企业板,洽洽食品股份有限公司,2011-02-20 16:00:00,5.07,2001-08-08 16:00:00,88.57,洽洽食品,002557,http://www.qiaqiafood.com
江苏省昆山市黑龙江北路55号,江苏省昆山市黑龙江北路55号,江苏,"WUS Printed Circuit (Kunshan) Co., Ltd.",电子电气组件与设备,167415.98,1.0,2010-08-17 16:00:00,16.73,中小企业板,沪士电子股份有限公司,2010-08-03 16:00:00,16.74,2003-02-23 16:00:00,88.19,沪电股份,002463,http://www.wuscn.com
湖北省鄂州经济开发区吴楚大道18号,湖北省鄂州经济开发区吴楚大道18号,湖北,"Goody Science and Technology Co., Ltd.",通用化工品,34560.0,1.0,2012-08-15 16:00:00,3.04,中小企业板,顾地科技股份有限公司,2012-08-07 16:00:00,3.46,1999-10-17 16:00:00,88.02,顾地科技,002694,http://www.goody.com.cn
湖北省武汉市东湖开发区江夏大道特1号凯迪大厦,湖北省武汉市东湖开发区江夏大道特1号,湖北,"Kaidi Ecological and Environmental Technology Co., Ltd.",电力（IV）,150729.24,1.0,1999-09-22 16:00:00,9.41,深圳证券交易所,凯迪生态环境科技股份有限公司,1999-07-21 16:00:00,15.07,1999-08-01 16:00:00,88.0,凯迪生态,000939,http://www.china-kaidi.com
浙江省嘉兴市嘉兴工业园区步焦路,浙江省嘉兴市嘉兴工业园区步焦路,浙江,"Zhejiang Satellite Petro Chemical Co., Ltd.",特种化工品,80000.0,1.0,2011-12-27 16:00:00,8.0,中小企业板,浙江卫星石化股份有限公司,2011-12-15 16:00:00,8.0,2005-08-02 16:00:00,87.52,卫星石化,002648,http://www.satlpec.com
浙江省诸暨市店口镇露笑路38号,浙江省诸暨市店口镇露笑路38号,浙江,"Roshow Technology Co., Ltd.",有色金属,73482.48,1.0,2011-09-19 16:00:00,5.6,中小企业板,露笑科技股份有限公司,2011-09-07 16:00:00,7.35,1989-05-23 15:00:00,87.43,露笑科技,002617,http://www.roshowtech.com
广东省深圳市大工业区兰竹大道以北CH3主厂房,广东省深圳市大工业区兰竹东路23号,广东,"Shenzhen Huakong Seg Co., Ltd.",电子电气组件与设备,100667.15,1.0,1997-06-10 16:00:00,8.97,深圳证券交易所,深圳华控赛格股份有限公司,1997-05-20 16:00:00,10.07,1997-06-05 16:00:00,87.34,华控赛格,000068,http://www.ssg.com.cn
青海省西宁经济开发区金桥路38号,陕西省西安市高新区高新六路52号立人科技园A座六层,青海,"GuangYuYuan Chinese Herbal Medicine Co., Ltd.",制药,27780.84,1.0,1996-11-04 16:00:00,2.44,上海证券交易所,广誉远中药股份有限公司,,2.78,1996-11-24 16:00:00,87.14,广誉远,600771,http://www.guangyuyuan.cn
上海市浦东新区建陆路378号,上海市静安区北京西路1320号,上海,"Shanghai Modern Pharmaceutical Co., Ltd.",制药,28773.34,1.0,2004-06-15 16:00:00,2.88,上海证券交易所,上海现代制药股份有限公司,,2.88,2000-12-19 16:00:00,86.87,现代制药,600420,http://www.shyndec.com
河南省巩义市新华路31号,河南省巩义市新华路31号,河南,"Henan Zhongfu Industry Co., Ltd.",铝业,174154.04,1.0,2002-06-25 16:00:00,15.15,上海证券交易所,河南中孚实业股份有限公司,,17.42,1993-12-09 16:00:00,86.8,中孚实业,600595,http://www.zfsy.com.cn
重庆市万州区高笋塘85号,重庆市渝中区邹容路68号大都会商厦3611室,重庆,"Chongqing Three Gorges Water Conservancy and Electric Power Co., Ltd.",电力（IV）,99300.55,1.0,1997-08-03 16:00:00,8.88,上海证券交易所,重庆三峡水利电力（集团）股份有限公司,1997-07-22 16:00:00,9.93,1994-04-27 16:00:00,86.58,三峡水利,600116,http://www.cqsxsl.com
安徽省来安县城东大街127号,安徽省来安县城东大街127号,安徽,"Anhui Jinhe Industrial Co., Ltd.",通用化工品,56459.84,1.0,2011-07-06 16:00:00,5.54,中小企业板,安徽金禾实业股份有限公司,2011-06-28 16:00:00,5.65,2006-12-24 16:00:00,86.42,金禾实业,002597,http://www.jinheshiye.com
北京市海淀区西直门北大街42号节能大厦A座12层,北京市海淀区西直门北大街42号节能大厦A座12层,北京,CECEP Wind-Power Corporation,电力（IV）,207778.0,1.0,2014-09-28 16:00:00,8.18,上海证券交易所,中节能风力发电股份有限公司,2014-09-17 16:00:00,20.78,2006-01-05 16:00:00,86.28,节能风电,601016,http://www.cecwpc.cn
河南省郑州市经济技术开发区第九大街167号,河南省郑州市经济技术开发区第九大街167号,河南,"Zhengzhou Coal Mining Machinery Group Co., Ltd.",工业机械,162112.2,1.0,2010-08-02 16:00:00,13.78,上海证券交易所,郑州煤矿机械集团股份有限公司,2010-07-19 16:00:00,16.21,2008-12-27 16:00:00,86.26,郑煤机,601717,http://www.zzmj.com
