page_size,stockCode,x1,x2,x3,x4,x5,total_words_num
1460,000012,0.00020765716571041824,0.004243897186629955,0.0036778391349156295,0.00013074710433618925,0.00016766393379581918,650110
1879,000027,0.0018789252185173195,0.004507607640012949,0.0025199093557785692,0.00030819035286500486,0.0007795403043056005,772250
770,000050,0.0003748865474922063,0.0006821243946850671,0.001398073139519807,1.1274783383224249e-05,9.865435460321219e-05,354774
391,000153,0.00039426805926924205,0.0006236603846622557,0.0017204424404476018,1.4337020337063348e-05,0.00012903318303357012,139499
1619,000423,0.00045708586981363364,0.0010942358701599107,0.002100171060924006,5.7135733726704205e-05,0.0007289134514831051,577572
93,000519,0.0006905812392096681,0.003874928064454249,0.0031076155764435064,3.836562440053712e-05,0.00015346249760214847,26065
641,000543,0.00047337617626807437,0.003166599724581134,0.002605362061051182,0.0003263426669726876,0.0001757229745237549,557696
248,000545,0.0020497053548552396,0.007709687187012321,0.0012344816341741784,2.3292106305173177e-05,0.0005590105513241562,42933
261,000550,0.000453688487402583,0.0034883603698065272,0.002540655529454465,0.0001209835966406888,0.0014719670924617137,99187
834,000553,0.0007964661281238705,0.00200272353588931,0.005320982154115145,8.405974967006549e-05,0.00038667484848230123,475852
302,000570,0.0007387970346215576,0.0030698290576516444,0.004636588286245637,0.00010190303925814588,0.00029297123786716937,78506
267,000576,0.00016724187736609248,0.002087989499237276,0.00019258155575489435,0.0,6.58831638108849e-05,197319
353,000590,0.00012986076040689704,0.0002837698097780343,0.0001971959695067696,1.4428973378544116e-05,1.4428973378544116e-05,207915
5993,000591,0.0007220423094975836,0.005968568604928167,0.004328421047665996,4.7173037778527306e-05,0.0003387613775470492,3391768
2216,000597,0.0016931176894145856,0.001194168202729561,0.0013774316397821176,1.8917516082844532e-05,0.00020691033215611206,845777
122,000599,0.00031417724833093336,0.0017017934284592224,0.005183924597460401,5.236287472182223e-05,0.00013090718680455556,38195
271,000600,0.0008258547596762649,0.005863568793701481,0.0038264603865000276,0.0002752849198920883,0.00105984694158454,72652
140,000623,0.00040852802246904124,0.0011489850631941786,0.0011234520617898634,2.5533001404315077e-05,0.00017873100983020553,39165
273,000637,0.0004419523243930061,0.0026517139463580366,0.000690550506864072,2.7622020274562883e-05,0.00035908626356931746,72406
173,000661,0.0009708401234353871,0.0010401858465379147,0.0028085017856523697,6.934572310252765e-05,0.00020803716930758296,86523
723,000666,0.0009608133523527435,0.004308895814215495,0.004969880886401425,7.041421731190318e-05,0.0004270281566012193,440252
594,000672,0.0013582221940634206,0.005238857034244622,0.0007563278106883771,7.91966293914531e-05,0.0006177337092533342,252536
787,000698,0.0007132634900831147,0.0020159440764728545,0.005687760306772104,7.568390730785461e-05,0.0003669522778562648,436024
219,000707,0.00024546535062787455,0.000749315280864038,4.521730143145057e-05,9.689421735310836e-06,6.136633765696864e-05,309616
336,000716,0.00011011881820484302,0.00013214258184581163,0.0011452357093303675,1.1011881820484302e-05,0.00022023763640968604,90811
416,000725,6.222526434625693e-05,0.0002866806821666837,0.0010267168617132394,1.5556316086564232e-05,0.00024667872651551855,449978
680,000733,0.000572378776589708,0.001751676428356434,0.0037944765448059093,9.868599596374276e-06,0.00046875848082777815,202663
4209,000737,0.0004403273056847154,0.0020296136159986444,0.001549489964902191,5.070824657302116e-05,0.00014955723356346748,1557932
2948,000755,0.0003689482502534142,0.0017439461107339217,0.0006504139257044725,3.0428721670384676e-05,0.00026434951951146687,525819
1839,000756,0.0009980897803247373,0.003600764087870105,0.002878064310729067,4.297994269340974e-05,0.0003931868831582299,628200
385,000766,0.0004609289188765103,0.00036285893613682726,0.0006178408912600031,1.961399654793661e-05,8.826298446571473e-05,101968
