stockCode,greenWords,totalWords
600216,1703,64115
600219,742,53236
600222,4317,178967
600237,2708,373026
600243,159,11444
600249,760,43876
600252,2327,109594
600256,2299,57042
600268,6526,222011
600285,2493,185420
600293,2048,104613
600295,569,37677
600298,37173,1983578
600302,5589,307953
600305,640,44893
600308,6432,295079
600328,2137,141095
600343,2859,131114
600352,2473,104740
600356,1839,248412
600367,1487,76052
600378,1690,78132
600379,6855,407302
600380,6453,160533
600387,2316,49862
600388,41373,798892
600396,103237,1887499
600399,8188,1242816
600406,4892,146140
600419,1730,59309
600420,8633,412152
600456,3327,256812
600470,5979,224372
600475,4958,210782
600488,720,22770
600489,162,38245
600497,29679,1540130
600513,118,25829
600516,14029,582630
600521,8748,463402
600526,5502,74559
600531,4757,287330
600535,60006,2821406
600538,565,40463
600547,2146,70115
600558,1896,179020
600569,1337,53937
600586,354,11755
600592,6585,435347
600595,2166,93804
600609,2501,164764
600615,1014,287964
600636,2212,143742
600644,53195,2567076
600653,5520,360847
600664,45462,3295054
600668,14588,752847
600674,860,30466
600688,14142,705130
600703,714,63869
600720,7321,762980
600740,16817,534435
600746,9159,280178
600765,3521,201079
600789,877,29846
600795,259181,6935111
600801,14307,766539
600808,23006,945831
600819,932,66838
600860,241,16166
600867,1232,68290
600869,23606,780531
600872,5011,358004
600875,3052,114835
600877,105247,5665053
600881,14683,745263
600886,11539,348935
600961,2099,103663
600969,7454,383150
600970,11382,545444
600971,6540,244120
600979,7876,942367
600985,24820,1084954
600992,1166,49446
600997,14859,485749
601001,2063,51216
601011,3488,108158
601015,1983,66389
601016,76899,3467031
601020,3377,160694
601106,81236,3475337
601113,2871,207629
601168,2811,113447
601179,3934,224753
601206,516,33024
601216,24585,721719
601225,3869,135492
601233,4657,284820
601311,1318,21994
601313,648,40786
601369,10863,281913
601558,2534,78964
601600,82783,3987699
601608,8034,443992
601636,1599,98267
601677,3227,203908
601700,402,42754
601727,4270,122389
601958,30106,1798158
601969,1471,150528
601985,4246,68560
601992,63049,2361897
603011,2583,168437
603088,527,23588
603169,2721,96981
603188,6003,214515
603227,2426,127219
603288,4903,191232
603299,13165,671536
603366,2939,96233
603399,7880,500769
603456,701,33734
603566,7744,279551
603601,674,11591
603618,1347,46336
603658,260,27666
603718,686,66292
603798,5143,320179
603806,1632,69459
603866,337,43673
603968,188,15526
603979,7148,409587
603998,2550,204157
